country,competition,teams
Нідерланди,Еерсте Дивізі,"Віллем ІІ
Рода
ФК Еммен
Ден Гааг
Камбур
Де Графсхап
НАК Бреда
Йонг АЗ Алкмар
Дордрехт
Венло
Гронінген
ФК Ейндховен
Хелмонд
Йонг ПСВ
Йонг Утрехт
Маастрихт
Йонг Аякс
Телстар
Ден Босх
Осс"
Німеччина,Бундесліга,"Баєр Леверкузен
Баварія Мюнхен
Штутгарт
Боруссія Д.
РБ Лейпциг
Гоффенгайм
Айнтрахт Франкфурт
Вольфсбург
Фрайбург
Аугсбург
Боруссія М.
Вердер Бремен
Гайденгайм
Бохум
Дармштадт
Майнц
Уніон Берлін
Кельн"
Німеччина,2.Бундесліга,"Санкт-Паулі
Гамбург
Гольштайн Кіль
Дюссельдорф
Гройтер Фюрт
Ельферсберг
Ганновер
Веєн
Нюрнберг
Герта Берлін
Кайзерслаутерн
Падерборн
Магдебург
Карлсруе
Ганза Росток
Шальке
Брауншвейг
Оснабрюк"
Норвегія,Елітсеріен,"Буде/Глімт
Бранн
Тромсе
Вікінг
Молде
Ліллестрем
Сарпсборг 08
Стремсгодсет
Русенборг
Одд
Хам-Кам
Хаугесунн
Стабек
Саннефйорд
Волеренга
Олесунн"
Північна Ірландія,Прем'єр-ліга,"Лінфілд
Ларн
Кліфтонвілл
Крузейдерс
Гленторан
Колрейн
Гленавон
Лахгол
К. Рейнджерс
Данганнон
Баллімена
Ньюрі Сіті"
Північна Македонія,1.МФЛ,"Шкупі
Шкендія
Струга
Сілекс
Работнічкі
Брера Струмиця
Тіквеш
КФ Гостівар
Воска Спорт
Македонія ГП
Брегальніца Штіп
Вардар"
Польща,Екстракляса,"Шльонск Вроцлав
Ягеллонія
Лех Познань
Ракув
Погонь Щецін
Легія
Заглембє
Відзев Лодзь
Сталь Мелець
Радомяк Радом
Гурнік Забже
П'яст Глівіце
Варта Познань
Корона Кєльце
Краковія
Пуща
Рух
ЛКС Лодзь"
Португалія,Ліга Португалії,"Бенфіка
Спортінг
Порту
Брага
Морейренсе
Гімарайнш
Фамалікан
СК Фаренсе
Боавішта
Портімоненсе
Жил Вісенте
Ештрела Амадора
Ешторіл
Візела
Каса Піа
Ріу Аве
Шавіш
Ароука"
Румунія,Ліга 1,"Стяуа Б.
ЧФР Клуж
Рапід Бухарест
Університатя Крайова
ФК Германнштадт
Петролул
Унів. Клуж
Фарул Констанца
Оцелул
Шепші
Волунтарі
Політехніка Ясси
УТА Арад
Універсітатя Крайова 1948
Дінамо Б.
ФК Ботошані"
Саудівська Аравія,Професійна ліга,"Аль-Хіляль
Аль-Наср
СК Аль-Ахлі
ФК Аль-Іттіхад
Аль-Таавон
Аль-Фатех
Аль-Еттіфак
Аль-Фейха
Аль-Вахда
Дамак
Аль-Шабаб
Аль-Ріяд
Аль-Таі
Аль-Халідж
Абха
Аль-Ахдуд
Аль-Раед
Аль-Хазем"
Сербія,Суперліга,"Партизан
Црвена Звезда
Бачка-Топола
Нови Пазар
Младост Лучани
Войводіна
Чукарічкі
Явор
Спартак Суботіца
Раднічки 1923
ФК Вождовац
Напредак
Нови-Београд
Железнічар Панчево
Раднічки Ниш
Раднік"
Словаччина,Nike liga,"Слован Братислава
Жиліна
Спартак Трнава
Дун. Стреда
Подбрезова
Банська Бистріца
Тренчин
Скаліца
Ружомберок
Кошице
Міхаловце
Злате Моравце-Врабле"
Словенія,Перша ліга,"Цельє
Олімпія Любляна
Копер
Марибор
НК Браво
Мура
Домжале
Радомлє
Алюміній
Рогашка"
США,МЛС Next Pro,"Краун Легасі
Нью-Інгленд Революшн II
Нью Йорк Ред Буллс 2
Філадельфія Юніон II
Нью-Йорк Сіті II
ФК Торонто II
Коламбус Крю 2
Орландо Сіті B
Чикаго Файр II
Гантсвілл
Атланта Юнайтед 2
ФК Цинцинатті 2
Інтер Маямі II
Такома Дефаєнс
Сан-Хосе Ертквейкс II
Портленд Тімберс 2
Ванкувер Вайткепс 2
Реал Монархс
ФК Лос-Анджелес II
Лос-Анджелес Гелаксі 2
Колорадо Репідс 2
Спортінг К. II
Остін II
Сент-Луїс Сіті 2
Х'юстон Динамо 2
Міннесота Юнайтед 2
Норт Тексас
Краун Легасі
Нью-Інгленд Революшн II
Коламбус Крю 2
Нью Йорк Ред Буллс 2
Орландо Сіті B
Чикаго Файр II
Філадельфія Юніон II
Нью-Йорк Сіті II
Гантсвілл
Атланта Юнайтед 2
ФК Торонто II
ФК Цинцинатті 2
Інтер Маямі II
Колорадо Репідс 2
Такома Дефаєнс
Спортінг К. II
Остін II
Сент-Луїс Сіті 2
Сан-Хосе Ертквейкс II
Х'юстон Динамо 2
Міннесота Юнайтед 2
Норт Тексас
Портленд Тімберс 2
Ванкувер Вайткепс 2
Реал Монархс
ФК Лос-Анджелес II
Лос-Анджелес Гелаксі 2"
Туреччина,Суперліга,"Фенербахче
Галатасарай
Бешикташ
Аданадемірспор
Трабзонспор
Кайсеріспор
Антальяспор
Касимпаша
Різеспор
Хатайспор
Анкарагюджю
Сівасспор
Газіантеп
Карагюмрюк
Коньяспор
Пендікспор
Башакшехір
Аланіяспор
Самсунспор
Істанбулспор АС"
Угорщина,НБ І,"Пакш
Ференцварош
Пушкаш Академі
Дебрецен
МОЛ Фехервар
Кечкемет
ДВТК
Уйпешт
МТК Будапешт
Мезекевешд-Жорі
Залаеґерсеґ
Кішварда"
Уельс,Кімру Прем'єр,"Нью-Сейнтс
Конна Квей
Ньютаун
Кардіфф Метрополітен
Бала Таун
Карнарвон
Пенібонт
Хейвердфордвест
Беррі
Колвін-Бей
Понтіпрідд
Еберіствіт"
Україна,"Прем'єр-ліга
","Дніпро-1
Кривбас
Полісся
Шахтар Д.
Рух
Динамо К.
Колос
Ворскла
Чорноморець
ЛНЗ Черкаси
Металіст 1925
Оболонь
Олександрія
Верес
Зоря
Минай"
Україна,Перша ліга,"Карпати Л.
Епіцентр
Агробізнес
Нива Бузова
Прикарпаття
Буковина
Поділля
Нива Т.
Металіст
Хуст
Інгулець
Лівий берег
ФСК Маріуполь
Вікторія
СК Полтава
МФК Металург
Гірник-Спорт
Кремінь
Чернігів
Діназ Вишгород"
Фінляндія,Кубок ліги,"ГІК
Інтер Турку
Лахті
Хонка
КТП
Марієгамн
АК Оулу
КуПС
Хака
СІК
ВПС
Ільвес"
Франція,Ліга 1,"ПСЖ
Ніцца
Монако
Лілль
Реймс
Ланс
Брест
Гавр
Мец
Ренн
Нант
Марсель
Страсбург
Монпельє
Тулуза
Лор'ян
Клермон
Ліон"
Франція,Ліга 2,"Лаваль
Анже
Гренобль
Осер
Генгам
Сент-Етьєн
Аяччо
По
Родез
Ам'єн
Конкарно
Аннесі
Бордо
ФК Париж
Бастія
Кан
Труа
Кевіллі Руан
Дюнкерк
Валансьєнн"
Хорватія,ХФЛ,"Хайдук Спліт
Рієка
Динамо Загреб
Горіца
Осієк
Вараждин
Белупо
Локомотива Загреб
Істра 1961
Рудеш"
Чехія,1.Ліга,"Спарта Прага
Славія Прага
Словацко
Сігма Оломоуц
Вікторія Пльзень
Млада Болеслав
Острава
Ліберец
Богеміанс
Тепліце
Градец-Кралове
Яблонець
Карвіна
ФК Пардубіце
Злін
Чеське Будейовіце"
Чорногорія,Перша ліга,"Будучност
Дечич
Єзеро
Сутьєска
Морнар Бар
ОФК Петровац
Арсенал Тиват
Єдінство
Младост ДГ
Рудар"
Швейцарія,Суперліга,"Цюрих
Янг Бойз
Серветт
Санкт-Галлен
Люцерн
Лугано
Лозанна
Івердон
Вінтертур
Грассхопперс
Базель
Лозанна Уші"
Швеція,Дивізіон 2 - Норрланд,"Енскеде
Слейпнер
Team TG FF
Карлстад
Хесслехольм ІФ
Фрелунда"
Шотландія,"Прем'єр-ліга
","Селтік
Рейнджерс
Сент-Міррен
Хартс
Хіберніан
Кілмарнок
ФК Данді
Мотервелл
Абердін
Росс Каунті
Сент-Джонстон
Лівінгстон"
Європа,Ліга Чемпіонів,
Європа,Ліга Європи,
Європа,Ліга Конференцій,
Європа,Чемпіонат Європи (збірні),
